Job Title,Salary Estimate,Rating,Location,Size,Type of ownership,Industry,Sector,job_state,company_age,python,spark,tableau
Computational Behavioral Scientist,56-97 ,4.2,"Herndon, VA",201 to 500 employees,Company - Private,IT Services,Information Technology, VA,10,1,0,0
Principal Data Scientist - Machine Learning,56-97 ,3.6,"Waltham, MA",Unknown,Subsidiary or Business Segment,Advertising & Marketing,Business Services, MA,25,1,1,0
Principal Machine Learning Scientist,56-97 ,4.7,"San Francisco, CA",501 to 1000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology, CA,21,1,0,0
Data Engineer,56-97 ,4.1,"Santa Clara, CA",51 to 200 employees,Company - Private,IT Services,Information Technology, CA,9,1,0,0
Principal Data Scientist,56-97 ,4,"Gaithersburg, MD",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,107,1,0,0
Data Scientist,56-97 ,5,"San Francisco, CA",Unknown,Company - Public,,, CA,-1,1,0,0
Senior Data Scientist - R&D Oncology,56-97 ,4,"New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, NY,107,1,0,0
Data Scientist,56-97 ,4.3,"San Carlos, CA",51 to 200 employees,Company - Private,,, CA,-1,1,1,0
"Health Plan Data Analyst, Sr",56-97 ,3.8,"Fort Worth, TX",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care, TX,102,0,0,0
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",56-97 ,3.8,"Smithfield, RI",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, RI,7,0,0,0
Analytics - Business Assurance Data Analyst,56-97 ,4.6,"Cedar Rapids, IA",501 to 1000 employees,Company - Private,Lending,Finance, IA,28,0,0,1
Data Scientist,79-106 ,3.4,"Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services, IL,28,0,0,0
Data Scientist,79-106 ,4.1,"McLean, VA",51 to 200 employees,Company - Private,Consulting,Business Services, VA,12,1,0,0
Machine Learning Engineer,79-106 ,3.7,"Fort Belvoir, VA",501 to 1000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,66,1,0,0
Data Engineer,79-106 ,4.4,"San Francisco, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,12,1,0,0
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",79-106 ,3.9,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,24,0,0,0
Data Engineer,79-106 ,3.6,"Linthicum Heights, MD",1001 to 5000 employees,Company - Private,Research & Development,Business Services, MD,19,1,0,0
Data Science Instructor,79-106 ,4.5,"Herndon, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, VA,8,0,0,0
Senior Business Intelligence Analyst,79-106 ,3.7,"Maple Plain, MN",1001 to 5000 employees,Company - Public,Miscellaneous Manufacturing,Manufacturing, MN,21,0,0,0
In-Line Inspection Data Analyst,79-106 ,2.9,"Tulsa, OK",201 to 500 employees,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities", OK,24,0,0,0
Data Scientist - TS/SCI FSP or CI Required,79-106 ,5,"Annapolis Junction, MD",1 to 50 employees,Company - Private,IT Services,Information Technology, MD,9,1,1,0
Data Scientist,79-106 ,3.4,"Newton, MA",201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services, MA,30,1,0,0
Senior Data Scientist,79-106 ,3.5,"Herndon, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,-1,1,0,0
Data Scientist - TS/SCI Required,79-106 ,5,"Baltimore, MD",1 to 50 employees,Company - Private,IT Services,Information Technology, MD,9,1,1,0
Data Science Software Engineer,79-106 ,4.8,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, MA,8,1,0,0
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,79-106 ,3.9,"Oklahoma City, OK",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services, OK,73,1,0,0
AI Ops Data Scientist,79-106 ,4,"Gaithersburg, MD",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,107,1,1,0
"Intelligence Data Analyst, Senior",79-106 ,4.3,"Fort Belvoir, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology, VA,10,1,0,0
Analytics Manager - Data Mart,79-106 ,3.5,"Scotts Valley, CA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care, CA,24,0,0,1
Data Modeler (Analytical Systems),79-106 ,3.7,"Boston, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance, MA,169,0,1,0
"Senior Machine Learning Scientist - Bay Area, CA",79-106 ,3.3,"Redwood City, CA",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, CA,5,1,0,0
Report Writer-Data Analyst,79-106 ,3.1,"Spartanburg, SC",1001 to 5000 employees,Company - Private,Lending,Finance, SC,65,0,0,0
Data Scientist/Machine Learning,71-123 ,4.3,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology, NY,9,1,1,0
Data Scientist - Risk,71-123 ,4.2,"Orlando, FL",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance, FL,24,1,1,1
Data Engineer,71-123 ,4.4,"Cincinnati, OH",201 to 500 employees,Company - Private,Venture Capital & Private Equity,Finance, OH,22,1,0,0
Staff Data Scientist - Pricing,71-123 ,3.6,"San Francisco, CA",501 to 1000 employees,Company - Private,Real Estate,Real Estate, CA,6,1,0,0
Data Scientist,71-123 ,4.5,"Hartford, CT",51 to 200 employees,Company - Private,IT Services,Information Technology, CT,12,1,0,0
Data Scientist,71-123 ,3,"Chicago, IL",1001 to 5000 employees,Company - Private,IT Services,Information Technology, IL,21,1,1,0
Data Scientist,71-123 ,5,United States,51 to 200 employees,Company - Private,Transportation Equipment Manufacturing,Manufacturing,US,2,1,0,0
Machine Learning Engineer,71-123 ,3.6,"Beavercreek, OH",501 to 1000 employees,Nonprofit Organization,Federal Agencies,Government, OH,53,1,0,0
Equity Data Insights Analyst - Quantitative Analyst,71-123 ,3.6,"Baltimore, MD",5001 to 10000 employees,Company - Public,Investment Banking & Asset Management,Finance, MD,83,1,0,1
Data Scientist,71-123 ,0,"Norfolk, VA",1 to 50 employees,Company - Private,IT Services,Information Technology, VA,-1,0,0,0
Research Scientist - Patient-Centered Research (Remote),71-123 ,3.8,"Bethesda, MD",501 to 1000 employees,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,7,0,0,0
Data Scientist,71-123 ,3.3,"Oak Ridge, TN",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, TN,170,1,0,0
Operations Data Analyst,71-123 ,3.8,"Charlotte, NC",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance, NC,3,0,0,0
Sr. Data Scientist II,71-123 ,3.5,"New York, NY",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance, NY,72,1,1,0
Data Scientist,71-123 ,3.3,"Champaign, IL",10000+ employees,Company - Public,Telecommunications Manufacturing,Telecommunications, IL,49,0,0,0
Data Scientist,71-123 ,4.6,"San Francisco, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,-1,1,0,1
Senior Data Analyst,71-123 ,3.9,"San Francisco, CA",51 to 200 employees,Company - Public,Internet,Information Technology, CA,12,1,0,1
Data Scientist,71-123 ,3.9,"Plano, TX",1 to 50 employees,Company - Private,Consulting,Business Services, TX,-1,1,0,0
Data Scientist,90-124 ,4.7,"Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, GA,17,1,0,0
Senior Research Statistician- Data Scientist,90-124 ,4.8,"Sheboygan, WI",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance, WI,95,0,0,0
Software Data Engineer,90-124 ,3.1,"New York, NY",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, NY,20,1,0,0
Data Scientist,90-124 ,3.6,"Palo Alto, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,14,0,0,0
Real World Evidence (RWE) Scientist,90-124 ,5,"Hoboken, NJ",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, NJ,11,1,0,0
Data Scientist,90-124 ,3.7,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,47,1,0,1
Data Scientist,90-124 ,3.7,"Lebanon, IN",10000+ employees,Company - Public,Transportation Management,Transportation & Logistics, IN,9,1,0,0
Data Scientist,90-124 ,3.9,"Oakland, CA",51 to 200 employees,Company - Private,Insurance Carriers,Insurance, CA,20,1,1,0
Data Scientist,90-124 ,4.3,"San Francisco, CA",1 to 50 employees,Company - Private,,, CA,-1,1,0,0
Computer Scientist 1,90-124 ,4.2,"Melbourne, FL",201 to 500 employees,Company - Private,Aerospace & Defense,Aerospace & Defense, FL,37,1,0,0
Lead Data Scientist,90-124 ,3.7,"Boston, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance, MA,169,1,1,0
Data Scientist,90-124 ,4,"Birmingham, AL",1 to 50 employees,Company - Private,,, AL,-1,0,0,0
Data Scientist,90-124 ,3.3,"Cleveland, OH",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing, OH,103,1,0,0
Data Scientist,90-124 ,4.1,"New York, NY",1001 to 5000 employees,Company - Private,Consulting,Business Services, NY,85,1,0,0
Data Scientist,90-124 ,3.3,"New York, NY",201 to 500 employees,Company - Private,News Outlet,Media, NY,13,1,0,0
Data Scientist,90-124 ,3.9,"San Francisco, CA",201 to 500 employees,Company - Private,IT Services,Information Technology, CA,11,1,0,0
Environmental Data Science,90-124 ,3.1,"Norwell, MA",10000+ employees,Nonprofit Organization,Research & Development,Business Services, MA,91,0,0,0
Computational Behavioral Scientist,90-124 ,4.2,"Herndon, VA",201 to 500 employees,Company - Private,IT Services,Information Technology, VA,10,1,0,0
Data Scientist,90-124 ,5,"New York, NY",Unknown,Unknown,,, NY,-1,1,0,0
Staff BI and Data Engineer,90-124 ,2.9,"San Jose, CA",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services, CA,22,1,1,1
Principal Machine Learning Scientist,90-124 ,4.7,"San Francisco, CA",501 to 1000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology, CA,21,1,0,0
Principal Data Scientist - Machine Learning,90-124 ,3.6,"Waltham, MA",Unknown,Subsidiary or Business Segment,Advertising & Marketing,Business Services, MA,25,1,1,0
Data Scientist-Human Resources,91-150 ,3.8,"Lexington, MA",1001 to 5000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense, MA,69,1,1,0
Associate Data Scientist,91-150 ,3.3,"Bothell, WA",1001 to 5000 employees,Company - Private,Utilities,"Oil, Gas, Energy & Utilities", WA,21,0,1,0
"Data Scientist - Statistics, Mid-Career",91-150 ,3.7,"Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities", WA,55,0,0,0
Director of Data Science,91-150 ,3.8,"Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,Business Services, MA,39,1,0,0
Data Scientist,91-150 ,3.2,"Rockville, MD",1001 to 5000 employees,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,200,1,0,1
Data Scientist,91-150 ,4.6,"Piscataway, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology, NJ,10,1,1,0
Data Scientist,91-150 ,3.5,"San Jose, CA",10000+ employees,Company - Public,Internet,Information Technology, CA,25,1,0,1
"Data Engineer, Digital & Comp Pathology",91-150 ,5,"New York, NY",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, NY,2,1,0,0
Data Engineer,91-150 ,4.1,"Santa Clara, CA",51 to 200 employees,Company - Private,IT Services,Information Technology, CA,9,1,0,0
"Manager / Lead, Data Science & Analytics",91-150 ,4.1,"Danvers, MA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,39,1,0,1
Data Scientist,91-150 ,3.5,"New York, NY",10000+ employees,Company - Public,,, NY,57,1,0,1
Data Scientist,91-150 ,3.2,"Vienna, VA",51 to 200 employees,Company - Private,IT Services,Information Technology, VA,9,1,1,0
Data Scientist,91-150 ,5,"San Francisco, CA",Unknown,Company - Public,,, CA,-1,1,0,0
Data Scientist,91-150 ,4.7,"Livermore, CA",1001 to 5000 employees,Government,Federal Agencies,Government, CA,68,1,0,0
Diversity and Inclusion Data Analyst,91-150 ,3.8,"Pittsburgh, PA",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance, PA,88,0,0,1
Data Scientist,91-150 ,3.6,"Herndon, VA",10000+ employees,Company - Public,Architectural & Engineering Services,Business Services, VA,73,1,1,1
Data Scientist,91-150 ,4.8,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, MA,8,0,0,0
Data Scientist,91-150 ,3.3,"Northbrook, IL",10000+ employees,Company - Private,Consulting,Business Services, IL,126,0,1,0
Data Scientist,91-150 ,3.7,"Irvine, CA",1001 to 5000 employees,Company - Public,Real Estate,Real Estate, CA,15,1,0,1
Data Scientist,91-150 ,5,"Irvine, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services, CA,2,1,0,1
Data Scientist,91-150 ,0,"San Francisco, CA",Unknown,Company - Private,,, CA,-1,0,0,0
Senior Analyst/Data Scientist,141-225 ,3.4,"Santa Monica, CA",501 to 1000 employees,Company - Private,Internet,Information Technology, CA,54,1,0,1
Data Scientist,141-225 ,5,"Boston, MA",1 to 50 employees,Company - Private,IT Services,Information Technology, MA,1,1,0,0
Data Scientist,141-225 ,0,"San Francisco, CA",Unknown,Company - Private,,, CA,-1,0,0,0
Senior Data Scientist - R&D Oncology,141-225 ,4,"New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, NY,107,1,0,0
Data Scientist,141-225 ,4.2,"Oshkosh, WI",10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing, WI,103,1,1,0
Data Scientist,141-225 ,4.3,"San Carlos, CA",51 to 200 employees,Company - Private,,, CA,-1,1,1,0
Data Scientist,141-225 ,3.4,"Menlo Park, CA",51 to 200 employees,Company - Private,Architectural & Engineering Services,Business Services, CA,60,1,0,0
Data Scientist,141-225 ,-1,"San Francisco, CA",51 to 200 employees,Company - Private,,, CA,-1,1,0,1
Data Scientist,141-225 ,4.4,"Dallas, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services, TX,14,1,0,0
Data Scientist Machine Learning,141-225 ,3.5,"Arlington, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,51,1,0,0
Data Scientist,141-225 ,3.7,"San Francisco, CA",1001 to 5000 employees,Company - Public,Video Games,Media, CA,27,1,1,1
Data Scientist,141-225 ,3.7,"Monroe, WI",501 to 1000 employees,Company - Private,Food & Beverage Stores,Retail, WI,-1,1,0,0
Data Scientist,141-225 ,4.1,"Sacramento, CA",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care, CA,-1,1,0,0
Data Scientist,141-225 ,3.4,"New York, NY",1 to 50 employees,Company - Private,Other Retail Stores,Retail, NY,3,1,1,0
Data Analyst,141-225 ,4.5,"Reston, VA",1 to 50 employees,Company - Private,IT Services,Information Technology, VA,3,0,0,1
Data Scientist,141-225 ,3.5,"New York, NY",1001 to 5000 employees,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism, NY,30,1,1,0
Data Scientist,141-225 ,3.6,"Hampton, VA",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing, VA,13,0,0,0
Data Scientist,141-225 ,3.2,"Richmond, VA",10000+ employees,Government,State & Regional Agencies,Government, VA,232,1,0,0
Data Scientist,141-225 ,3.7,"New York, NY",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology, NY,20,1,0,0
Data Scientist,141-225 ,4,"Monterey, CA",501 to 1000 employees,Company - Private,Other Retail Stores,Retail, CA,28,1,1,0
Data Scientist,145-225,3.2,"Chicago, IL",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, IL,5,0,0,0
Data Scientist,145-225,4.5,"McLean, VA",51 to 200 employees,Company - Private,Federal Agencies,Government, VA,15,1,0,1
Data Scientist,145-225,3.9,"Woodlawn, MD",201 to 500 employees,Company - Private,IT Services,Information Technology, MD,16,1,0,1
Data Scientist,145-225,3.2,United States,1 to 50 employees,Company - Private,IT Services,Information Technology,US,-1,1,0,0
Data Scientist,145-225,5,"New York, NY",Unknown,Company - Public,,, NY,-1,1,0,0
Data Scientist,145-225,3.4,"Reston, VA",5001 to 10000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense, VA,17,0,0,0
Data Scientist,145-225,4.4,"New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology, NY,5,1,1,0
"Health Plan Data Analyst, Sr",145-225,3.8,"Fort Worth, TX",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care, TX,102,0,0,0
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",145-225,3.8,"Smithfield, RI",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, RI,7,0,0,0
Data Scientist,145-225,3.5,"Atlanta, GA",201 to 500 employees,Company - Public,Financial Transaction Processing,Finance, GA,28,1,0,1
Senior Data Scientist,145-225,3.8,"San Francisco, CA",201 to 500 employees,Company - Private,Insurance Carriers,Insurance, CA,9,1,1,0
Data Scientist,145-225,3.9,"Ann Arbor, MI",1001 to 5000 employees,Company - Public,Internet,Information Technology, MI,15,1,1,0
Data Scientist,145-225,3.4,"Pittsburgh, PA",51 to 200 employees,Company - Private,,, PA,-1,1,0,0
Data Scientist,145-225,3.8,"New York, NY",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services, NY,20,1,0,1
Analytics - Business Assurance Data Analyst,145-225,4.6,"Cedar Rapids, IA",501 to 1000 employees,Company - Private,Lending,Finance, IA,28,0,0,1
Data Scientist,145-225,0,"New York, NY",1 to 50 employees,Company - Private,Consulting,Business Services, NY,-1,0,0,0
Data Scientist,145-225,4.6,"Concord, CA",51 to 200 employees,Company - Private,Consulting,Business Services, CA,-1,0,0,0
"Development Scientist, Voltaren",145-225,3.9,"Richmond, VA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, VA,190,0,0,0
Data Scientist,145-225,0,"Cincinnati, OH",1 to 50 employees,Company - Private,,, OH,-1,0,0,0
Data Scientist,79-147 ,3.7,"San Francisco, CA",1001 to 5000 employees,Government,Federal Agencies,Government, CA,4,1,0,1
Data Scientist,79-147 ,3.3,"Bellevue, WA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance, WA,20,1,0,0
Data Engineer,79-147 ,4.4,"San Francisco, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,12,1,0,0
Data Scientist,79-147 ,3.7,"Oakland, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology, CA,23,0,0,0
Data Scientist,79-147 ,3.3,"San Francisco, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services, CA,25,1,0,0
Data Scientist,79-147 ,3.4,"Boston, MA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, MA,36,1,1,0
Data Scientist,79-147 ,0,"Reston, VA",51 to 200 employees,Company - Private,IT Services,Information Technology, VA,-1,1,0,0
Machine Learning Engineer,79-147 ,3.7,"Fort Belvoir, VA",501 to 1000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,66,1,0,0
Principal Data & Analytics Platform Engineer,79-147 ,3.7,"Durham, NC",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance, NC,87,1,1,0
Machine Learning Engineer/Scientist,79-147 ,4.8,"New York, NY",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance, NY,20,0,0,0
Data Scientist,79-147 ,5,"McLean, VA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology, VA,17,1,0,0
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",79-147 ,3.9,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,24,0,0,0
Data Scientist,79-147 ,3.4,"Chicago, IL",501 to 1000 employees,Company - Private,,, IL,-1,0,0,0
Data Scientist,79-147 ,3.3,"Kent, OH",10000+ employees,Self-employed,Timber Operations,Agriculture & Forestry, OH,140,1,0,0
Data Scientist,79-147 ,4.6,"Reston, VA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense, VA,21,0,0,0
Data Scientist,79-147 ,0,"San Francisco, CA",1 to 50 employees,Company - Private,,, CA,-1,1,0,0
Machine Learning Engineer,79-147 ,2.6,"Pittsburgh, PA",501 to 1000 employees,College / University,Colleges & Universities,Education, PA,36,1,0,0
Data Analyst - Unilever Prestige,79-147 ,3.8,"Carson, CA",201 to 500 employees,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing, CA,34,1,0,1
Data Scientist,79-147 ,4.8,"New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology, NY,9,1,0,1
"VP, Data Science",79-147 ,3.9,"New York, NY",51 to 200 employees,Company - Private,Research & Development,Business Services, NY,8,1,1,0
Data Scientist,122-146 ,4,"Santa Clara, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,8,1,1,0
Data Scientist,122-146 ,4.2,"Palo Alto, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, CA,7,1,0,0
Senior Business Intelligence Analyst,122-146 ,3.7,"Maple Plain, MN",1001 to 5000 employees,Company - Public,Miscellaneous Manufacturing,Manufacturing, MN,21,0,0,0
Data Scientist,122-146 ,3,"Cincinnati, OH",1001 to 5000 employees,Company - Private,Insurance Agencies & Brokerages,Insurance, OH,133,0,0,0
Data Engineer - Kafka,122-146 ,3.5,"San Jose, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology, CA,50,1,1,0
Data Scientist,122-146 ,2.9,"Santa Clara, CA",1 to 50 employees,Company - Private,,, CA,-1,1,1,0
Data Scientist,122-146 ,5,"New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services, NY,6,0,0,0
Data Scientist,122-146 ,4.7,"Chantilly, VA",201 to 500 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology, VA,18,0,0,0
Data Scientist,122-146 ,0,"Palo Alto, CA",,,,, CA,-1,0,0,0
Decision Scientist,122-146 ,4.5,"Laurel, MD",5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense, MD,78,0,1,0
Data Scientist,122-146 ,4.9,"Cambridge, MA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, MA,10,1,1,0
Data Science All Star Program - Data Engineer Track,122-146 ,4.6,"Columbia, MD",51 to 200 employees,Company - Private,Consulting,Business Services, MD,18,1,1,0
Data Scientist - TS/SCI FSP or CI Required,122-146 ,5,"Annapolis Junction, MD",1 to 50 employees,Company - Private,IT Services,Information Technology, MD,9,1,1,0
Data Analyst,122-146 ,3.9,"Falls Church, VA",51 to 200 employees,Company - Public,Consulting,Business Services, VA,8,1,0,1
Data Scientist,122-146 ,-1,"San Francisco, CA",,,,, CA,-1,1,1,0
Data Scientist,122-146 ,-1,"San Francisco, CA",,,,, CA,-1,1,1,0
Data Scientist,122-146 ,-1,"San Francisco, CA",,,,, CA,-1,1,1,0
Data Scientist,122-146 ,-1,"San Francisco, CA",,,,, CA,-1,1,1,0
Data Scientist,122-146 ,-1,"San Francisco, CA",,,,, CA,-1,1,1,0
Data Scientist,122-146 ,-1,"San Francisco, CA",,,,, CA,-1,1,1,0
Senior Data Scientist,122-146 ,3.5,"Herndon, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,-1,1,0,0
Data Scientist,112-116 ,4.3,"Cambridge, MA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, MA,21,1,0,1
Data Scientist,112-116 ,3.7,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MA,239,1,1,0
Data Scientist,112-116 ,3.5,"Herndon, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense, VA,-1,1,1,1
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,112-116 ,3.9,"Oklahoma City, OK",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services, OK,73,1,0,0
Data Scientist,112-116 ,4.7,"Thousand Oaks, CA",51 to 200 employees,Company - Private,Consulting,Business Services, CA,12,1,0,0
Data Science Software Engineer,112-116 ,4.8,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, MA,8,1,0,0
AI Ops Data Scientist,112-116 ,4,"Gaithersburg, MD",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,107,1,1,0
Data Scientist,112-116 ,4.4,"Edison, NJ",51 to 200 employees,Company - Private,,, NJ,-1,0,0,0
Data Scientist,112-116 ,3.2,"Adelphi, MD",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense, MD,2,1,0,0
Data Scientist,112-116 ,4.5,"Washington, DC",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services, DC,40,1,0,0
Scientist - Machine Learning,112-116 ,3.5,"Seattle, WA",201 to 500 employees,Nonprofit Organization,Research & Development,Business Services, WA,17,0,0,0
Data Scientist,112-116 ,4.4,"Plano, TX",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services, TX,31,1,0,0
Data Scientist,112-116 ,3.1,"Sunnyvale, CA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services, CA,19,1,0,1
Sr. Data Scientist,112-116 ,3.5,"Denver, CO",201 to 500 employees,Company - Private,Travel Agencies,Travel & Tourism, CO,9,1,0,0
Data Scientist,112-116 ,3.8,"Thousand Oaks, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology, CA,21,1,0,0
Data Scientist,112-116 ,3.7,"McLean, VA",5001 to 10000 employees,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities", VA,112,1,0,0
Analytics Manager - Data Mart,112-116 ,3.5,"Scotts Valley, CA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care, CA,24,0,0,1
Data Modeler (Analytical Systems),112-116 ,3.7,"Boston, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance, MA,169,0,1,0
Applied AI Scientist / Engineer,112-116 ,5,"Boston, MA",1 to 50 employees,Contract,Computer Hardware & Software,Information Technology, MA,17,1,0,0
"Data Engineer (Analytics, SQL, Python, AWS)",112-116 ,4,"Hartford, CT",10000+ employees,Company - Public,Insurance Carriers,Insurance, CT,167,1,1,0
Senior Data Analyst - Finance & Platform Analytics,112-116 ,3.6,"San Francisco, CA",1001 to 5000 employees,Subsidiary or Business Segment,Internet,Information Technology, CA,9,1,0,1
Senior Data Scientist,110-163 ,4.8,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, MA,8,0,0,0
Market Research Data Scientist,110-163 ,3.8,"Denver, CO",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services, CO,11,0,0,0
